2015-12-19 01:10:43,437 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ BrokerService[localhost] Task-1996
2015-12-19 01:10:43,474 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-883
2015-12-19 01:10:43,474 | INFO  | localhost bridge to localhost stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-1996
2015-12-19 01:10:43,485 | INFO  | Network connection between vm://localhost#3608 and tcp:///10.170.108.190:51515@45048 (localhost) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp:///10.170.108.190:51515@45048, localBroker= vm://localhost#3608
2015-12-19 01:11:13,493 | WARN  | Network connection between vm://localhost#3608 and tcp:///10.170.108.190:51515@45048 shutdown due to a remote error: java.io.EOFException | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ Transport: tcp:///10.170.108.190:51515@45048
2015-12-19 01:11:13,495 | INFO  | Establishing network connection from vm://localhost?async=false to tcp://10.170.108.190:51515 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-884
2015-12-19 01:11:13,499 | INFO  | localhost bridge to localhost stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-1994
2015-12-19 01:11:13,505 | INFO  | Network connection between vm://localhost#3612 and tcp:///10.170.108.190:51515@45608 (localhost) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp:///10.170.108.190:51515@45608, localBroker= vm://localhost#3612
2015-12-19 01:11:43,513 | WARN  | Network connection between vm://localhost#3612 and tcp:///10.170.108.190:51515@45608 shutdown due to a remote error: java.io.EOFException | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ Transport: tcp:///10.170.108.190:51515@45608
2015-12-19 01:11:43,515 | INFO  | Establishing network connection from vm://localhost?async=false to tcp://10.170.108.190:51515 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-885
2015-12-19 01:11:43,520 | INFO  | localhost bridge to localhost stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-1999
2015-12-19 01:11:43,526 | INFO  | Network connection between vm://localhost#3616 and tcp:///10.170.108.190:51515@45863 (localhost) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp:///10.170.108.190:51515@45863, localBroker= vm://localhost#3616
2015-12-19 01:12:13,534 | WARN  | Network connection between vm://localhost#3616 and tcp:///10.170.108.190:51515@45863 shutdown due to a remote error: java.io.EOFException | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ Transport: tcp:///10.170.108.190:51515@45863
2015-12-19 01:12:13,537 | INFO  | Establishing network connection from vm://localhost?async=false to tcp://10.170.108.190:51515 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-886
2015-12-19 01:12:13,542 | INFO  | localhost bridge to localhost stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-1999
2015-12-19 01:12:13,551 | INFO  | Network connection between vm://localhost#3620 and tcp:///10.170.108.190:51515@46484 (localhost) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp:///10.170.108.190:51515@46484, localBroker= vm://localhost#3620
2015-12-19 01:12:43,562 | WARN  | Network connection between vm://localhost#3620 and tcp:///10.170.108.190:51515@46484 shutdown due to a remote error: java.io.EOFException | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ Transport: tcp:///10.170.108.190:51515@46484
2015-12-19 01:12:43,565 | INFO  | Establishing network connection from vm://localhost?async=false to tcp://10.170.108.190:51515 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-887
2015-12-19 01:12:43,569 | INFO  | localhost bridge to localhost stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-1999
2015-12-19 01:12:43,575 | INFO  | Network connection between vm://localhost#3624 and tcp:///10.170.108.190:51515@47110 (localhost) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp:///10.170.108.190:51515@47110, localBroker= vm://localhost#3624
2015-12-19 01:13:13,584 | WARN  | Network connection between vm://localhost#3624 and tcp:///10.170.108.190:51515@47110 shutdown due to a remote error: java.io.EOFException | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ Transport: tcp:///10.170.108.190:51515@47110
2015-12-19 01:13:13,586 | INFO  | Establishing network connection from vm://localhost?async=false to tcp://10.170.108.190:51515 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-888
2015-12-19 01:13:13,591 | INFO  | localhost bridge to localhost stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-1999
2015-12-19 01:13:13,597 | INFO  | Network connection between vm://localhost#3628 and tcp:///10.170.108.190:51515@47734 (localhost) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp:///10.170.108.190:51515@47734, localBroker= vm://localhost#3628
2015-12-19 01:13:43,605 | WARN  | Network connection between vm://localhost#3628 and tcp:///10.170.108.190:51515@47734 shutdown due to a remote error: java.io.EOFException | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ Transport: tcp:///10.170.108.190:51515@47734
2015-12-19 01:13:43,607 | INFO  | Establishing network connection from vm://localhost?async=false to tcp://10.170.108.190:51515 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-889
2015-12-19 01:13:43,613 | INFO  | localhost bridge to localhost stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-1999
2015-12-19 01:13:43,617 | INFO  | Network connection between vm://localhost#3632 and tcp:///10.170.108.190:51515@48291 (localhost) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp:///10.170.108.190:51515@48291, localBroker= vm://localhost#3632
2015-12-19 01:14:13,625 | WARN  | Network connection between vm://localhost#3632 and tcp:///10.170.108.190:51515@48291 shutdown due to a remote error: java.io.EOFException | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ Transport: tcp:///10.170.108.190:51515@48291
2015-12-19 01:14:13,627 | INFO  | Establishing network connection from vm://localhost?async=false to tcp://10.170.108.190:51515 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-890
2015-12-19 01:14:13,631 | INFO  | localhost bridge to localhost stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-1999
2015-12-19 01:14:13,638 | INFO  | Network connection between vm://localhost#3636 and tcp:///10.170.108.190:51515@48474 (localhost) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp:///10.170.108.190:51515@48474, localBroker= vm://localhost#3636
2015-12-19 01:14:43,646 | WARN  | Network connection between vm://localhost#3636 and tcp:///10.170.108.190:51515@48474 shutdown due to a remote error: java.io.EOFException | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ Transport: tcp:///10.170.108.190:51515@48474
